id,day,x,y
A,06,12121,6023
B,06,8518,-13
C,06,19302,6749
D,06,15679,-47
E,06,25828,6684
F,06,25637,-35
G,06,35664,6572
H,06,34864,-88
I,06,39402,6520
J,06,39447,-75
K,06,44470,6511
L,06,44612,-109
M,06,47898,6418
N,06,47951,-142
O,06,52667,6399
P,06,51050,-181
A,08,12311,5591
B,08,11541,-2057
C,08,17921,5526
D,08,17852,-2079
E,08,23076,5527
F,08,23068,-2141
G,08,27149,5483
H,08,27081,-2117
I,08,31091,5496
J,08,31031,-2109
K,08,36582,5520
L,08,36179,-2127
M,08,41558,5523
N,08,41659,-2120
O,08,48898,5548
P,08,49241,-2108

